설립구분,표준학교코드,학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,설립일자,개교기념일,시도교육청코드,적재일시,위도,경도
공립,7061061,서울남정초등학교,서울특별시중부교육지원청,4368,서울특별시 용산구 원효로64길 17-10,/ 서울남정초등학교 (원효로2가),19451101,19451101,B10,20230326,37.53635750000001,126.9649784
공립,7061060,서울남산초등학교,서울특별시중부교육지원청,4629,서울특별시 중구 퇴계로22길 17,/ 서울남산초등학교 (남산동2가),19451101,19451101,B10,20230326,37.5599979,126.9866564
공립,7061059,서울금양초등학교,서울특별시중부교육지원청,4318,서울특별시 용산구 효창원로 137,/ 서울금양초등학교 (효창동),19150910,19150910,B10,20230326,37.5405866,126.9611863
공립,7061058,서울교동초등학교,서울특별시중부교육지원청,3132,서울특별시 종로구 삼일대로 446,(경운동),18940918,18940918,B10,20230326,37.5748296,126.9877469
공립,7061057,서울광희초등학교,서울특별시중부교육지원청,4569,서울특별시 중구 다산로 269,(신당동/광희초등학교),18950719,19001101,B10,20230326,37.5674577,127.0150222
사립,7061056,상명대학교사범대학부속초등학교,서울특별시중부교육지원청,3015,서울특별시 종로구 홍지문2길 1,(홍지동/ 상명초등학교),19660312,19660517,B10,20230326,37.6008111,126.956353
사립,7061055,리라초등학교,서울특별시중부교육지원청,4628,서울특별시 중구 소파로2길 7,(예장동),19650520,19650520,B10,20230326,37.5578599,126.9879108
사립,7061054,동산초등학교,서울특별시중부교육지원청,4592,서울특별시 중구 매봉18길 109,/ 동산초등학교 (신당동),19660310,19660310,B10,20230326,37.5563823,127.0170729
사립,7051173,화랑초등학교,서울특별시북부교육지원청,1797,서울특별시 노원구 화랑로 621,(공릉동/화랑초등학교),19671214,19680520,B10,20230326,37.6277725,127.0904878
사립,7051172,한신초등학교,서울특별시북부교육지원청,1438,서울특별시 도봉구 노해로49길 69,(쌍문동/한신초등학교),19690605,19690605,B10,20230326,37.65297,127.0317983
사립,7051171,태강삼육초등학교,서울특별시북부교육지원청,1795,서울특별시 노원구 화랑로 815,/ 태강삼육초등학교 (공릉동),19491119,19491119,B10,20230326,37.6429012,127.1060303
사립,7051170,청원초등학교,서울특별시북부교육지원청,1672,서울특별시 노원구 한글비석로 506,/ (상계동/청원초/중/고등학교) (상계동),19651205,19660510,B10,20230326,37.6660014,127.0623156
공립,7051169,서울한천초등학교,서울특별시북부교육지원청,1911,서울특별시 노원구 마들로 45,/ 서울한천초등학교 (월계동),19831203,19840507,B10,20230326,37.6201878,127.0689363
공립,7051168,서울태릉초등학교,서울특별시북부교육지원청,1823,서울특별시 노원구 노원로1길 36,/ 서울태릉초등학교 (공릉동),19860117,19860501,B10,20230326,37.6225387,127.0850209
