ÁÂÇ¥Á¤º¸(X),ÁÂÇ¥Á¤º¸(Y)
198994.5883,452137.4383
200497.5702,452130.3382
200847.0897,452005.1396
198600.0444,451890.5465
200461.152,452153.6052
197724.9402,452106.7938
199885.1374,452227.5324
200307.8551,452034.6331
198886.0303,452234.8544
197573.0307,452175.3358
200231.0222,452054.7487
200266.6482,452120.9899
198913.4961,452416.1708
197697.5555,452045.212
198200.2152,452125.6556
200265.9397,452194.4731
,
200233.0899,451977.0667
200292.1857,452029.6699
200255.2648,452155.3008
200831.7863,451988.8294
199113.4122,452627.2447
197745.0045,452127.2441
199041.0092,452032.2396
198585.2908,451888.1324
199093.1052,452268.9283
199893.6699,452177.2483
200203.2473,452144.9723
200491.8142,452150.5272
200387.0118,452204.9244
200387.0118,452204.9244
200365.8523,452054.0146
200243.0985,452156.6467
,
198709.4703,452773.6231
200197.5793,452129.3207
200259.7545,452113.1509
200322.8756,452140.2434
197656.1779,452014.9772
,
,
,
198758.73,451810.488
202210.9235,459473.0937
197973.5009,451752.1308
201641.9495,451512.7434
199341.0002,451166.0663
199226.8476,451398.6012
200512.0053,451422.3573
199235.3389,451113.1481
199181.4978,451200.5821
197593.6893,450607.5048
199279.1736,451377.7895
198109.6173,451640.774
199606.1113,451137.8958
201533.0274,451450.058
198911.8064,451032.3161
201585.646,451516.9947
199111.2743,451713.7062
199302.1633,451503.1103
201409.5028,451434.9342
199341.1371,451158.1556
197967.6984,451078.8212
199229.9205,451163.7958
201596.0808,451564.7778
199268.7785,451180.5365
201503.8491,451514.0405
201762.7658,451528.7024
199374.9445,451101.6226
197945.8254,451102.6517
197519.4805,450619.071
197945.3755,450937.1058
199489.1793,451106.9518
199247.6529,451416.8542
197545.467,450663.3209
199541.8713,451126.308
199419.6437,451319.5517
199317.3623,451297.524
199528.4791,451130.4988
200497.2121,451372.1816
199127.5345,451102.6862
198162.2112,450968.5355
199514.882,451135.5725
199037.8253,451103.6808
200304.8355,451520.4342
200066.9845,451406.737
201409.5386,451421.1355
201336.0897,451505.7333
199352.4325,451134.7014
197996.1588,451158.7589
197772.4785,451236.8393
200271.3984,451530.9771
200225.9831,451511.2628
199342.4446,451137.088
198319.0072,451622.5063
199893.2289,451824.9473
199119.114,451114.4484
199333.5264,451192.1616
199203.7274,451223.1966
199122.2527,451406.2876
197945.5493,451122.4688
200525.4757,451430.6124
199303.3043,451498.0503
199247.5208,451490.6847
198911.8064,451032.3161
197663.3679,450691.4042
199499.7762,451127.1666
199257.1139,451318.6552
197497.2271,450603.6043
199216.2606,451202.9019
200526.2174,451373.8233
199164.3509,451104.739
201624.7917,451518.8435
198139.29,451612.4388
198139.29,451612.4388
200139.5047,451844.3507
199213.2817,451032.5659
201767.0854,451555.4778
199821.2248,451658.2965
199401.9087,451134.1317
201223.1868,451410.7622
199778.4621,451792.7299
199055.2889,451579.3198
200277.2336,451409.7685
199523.3489,451311.7359
197587.0789,450597.2482
199447.9514,451139.1191
200527.8613,451446.0759
200535.6133,451633.5052
199511.558,451125.3835
199511.558,451125.3835
199100.4129,451298.4147
197185.8737,450597.6152
199298.82,451178.1399
201624.7917,451518.8435
197984.6447,451739.9477
199337.1865,451182.9967
,
200510.2867,451400.5619
201601.7862,451508.7369
199465.0315,451099.7266
200477.2503,451376.271
197770.9203,451225.8832
198185.7683,451601.0637
197945.8254,451102.6517
199090.1123,451196.2118
199267.4789,451500.9779
201742.6872,451552.4014
199447.9514,451139.1191
198933.3682,451641.1434
199471.2693,451041.0343
198193.5344,451650.9558
200071.612,451641.8571
199143.905,451509.1502
200225.9831,451511.2628
199524.5309,451295.7295
199466.3178,451108.7132
198117.5253,451757.6239
200544.6107,451376.8531
199243.7197,451518.1977
200538.2033,451456.4171
197911.394,451104.0823
199245.0206,451300.4269
199258.2768,451059.1253
200547.6397,451402.8925
199507.4754,451488.4124
198740.4931,451509.1147
199205.2541,451196.6405
200087.0293,451381.6003
197956.4873,451034.3275
199498.2614,451106.8432
197947.6512,451086.9598
197597.0473,450595.1168
201601.7862,451508.7369
200523.2919,451462.6255
199017.6547,451486.9589
199235.3389,451113.1481
198191.2382,451735.1001
199301.7995,451171.4689
199105.2187,451530.9322
200477.2503,451376.271
199500.4199,451531.4918
199420.5863,451122.4438
199213.9431,451187.6028
197192.8104,450712.2255
197968.205,451266.0076
199046.7949,451066.0381
200512.2471,451433.391
201325.3842,451418.2186
200511.77,451411.7254
198035.465,451682.9081
197821.0571,451248.7754
197913.8141,450584.5475
201204.1147,451408.5865
199269.5279,451465.0422
198984.5044,451729.0974
197770.9203,451225.8832
198044.6654,451236.6347
197911.0953,451167.0272
199482.561,451107.3638
199025.8253,451419.1703
198367.639,451720.218
199046.1362,451509.6373
200477.8517,451407.8947
199150.0794,451207.9911
197913.7334,451077.0816
201607.8078,451587.0131
199282.2568,451198.8262
200448.9723,451491.6664
201775.039,451516.7714
198644.069,450827.8618
197183.0871,450587.368
199207.0019,451638.4254
197704.3304,450666.0782
197922.9157,451101.9005
201557.1396,451515.1247
199327.2686,451427.9924
199481.3761,451138.5287
199192.9453,451165.0011
198264.7839,451746.9218
199238.8375,451039.7926
199389.2572,451326.8259
199430.4178,451318.9648
199463.5348,451139.1606
199183.8349,451487.6491
197192.6878,450621.3195
199776.9708,451805.6567
199528.4791,451130.4988
198139.29,451612.4388
198858.1964,451698.9042
197911.394,451104.0823
198264.7839,451746.9218
200498.4975,451494.7068
200094.2913,451350.1514
198164.2584,450703.5993
197753.2396,451224.787
198911.8064,451032.3161
197671.9552,450714.5172
199652.5966,451038.8914
197993.2939,451119.0583
198556.1416,451362.7705
199118.1768,447688.4883
197417.9907,449729.1634
197228.8424,446427.3149
199737.0974,448587.7533
196549.8958,448153.5244
199357.144,448100.8023
199357.144,448100.8023
199387.8964,448055.0489
199337.6286,447413.4872
196506.9751,448157.3695
197285.3808,447648.1487
199563.5296,447939.0851
196546.598,448172.2664
198943.2228,447962.2081
197416.2764,448819.0779
196534.2845,448086.812
197501.0655,447922.4846
197419.9582,449748.571
199627.3277,447981.3392
199520.2804,448012.0475
202958.1616,451149.3363
202990.5559,451158.589
203005.4568,451173.7274
202994.9928,451122.4136
202985.0668,451131.0626
203032.0623,451134.8586
203114.7586,451504.767
202727.017,451267.5169
203104.707,450878.0062
203194.2696,450837.6227
203247.412,452076.3618
202971.1154,451184.0543
202941.7009,451198.5215
205659.0484,449568.4524
205837.6406,450946.9561
202882.087,451171.811
202956.997,451185.4039
205997.2385,449576.6581
205932.9775,449586.5194
205839.7492,449386.2061
202974.6046,451142.7574
205855.6394,449404.7443
202961.0647,451156.9374
207417.4866,449130.8658
207748.7365,449212.1872
205951.717,449589.58
208051.8847,447994.8056
206167.329,449683.1373
206328.873,449477.8737
205850.7529,449421.5572
206199.9532,451997.9348
202116.9383,452677.08
206200.2186,452034.5044
205045.3665,451249.5719
204999.4015,451290.3857
205790.1995,451038.4542
204501.3656,451744.1493
207948.083,449133.2043
205390.3136,455648.5943
206166.9948,451914.7795
204266.7704,453404.9347
206179.0451,451908.7962
204551.742,451706.0036
206117.295,451867.0051
206280.8497,452051.1232
206281.6425,452144.6804
206143.7134,451918.27
206275.753,452063.9637
206255.3269,452142.7901
203358.0865,452851.1792
206133.5505,452026.8033
205998.3744,451879.4113
204662.3412,451605.2607
205044.4058,452884.2122
204400.7068,453554.7444
206143.7134,451918.27
206184.5634,451937.5649
203341.3662,452825.5953
206106.2635,451845.4652
206162.9863,451957.4967
206106.2635,451845.4652
204795.8898,454094.5323
204152.884,452046.1328
205711.2633,451065.3216
205018.5069,451331.6544
206085.221,451802.3984
205982.7594,451734.2372
205045.3665,451249.5719
206208.5681,452051.8925
206097.0295,451827.4382
203257.6077,452402.4286
205987.3456,452845.2843
206091.5372,451990.2243
206144.3483,452047.886
204940.8216,454289.9202
206239.0998,452112.8721
205421.0436,455771.6201
205428.8198,455520.9291
206247.0564,452075.1676
206231.4203,452041.4768
206133.5505,452026.8033
203082.8652,452852.4293
205751.3499,451299.2435
204414.125,453650.7879
205777.9912,451070.7091
204926.1206,454263.792
206097.0295,451827.4382
206091.5372,451990.2243
207623.1861,454526.1971
207759.1934,454943.9829
207759.1934,454943.9829
207807.6576,454906.6009
207834.3873,454817.8397
206718.6733,456725.0623
207797.5068,454835.325
207807.6576,454906.6009
206821.109,456096.3596
207830.3881,454776.182
207747.0465,453107.1307
207599.4345,453195.0998
207831.7811,454827.5745
207586.4619,453198.9916
201810.3889,453337.054
207785.1639,454948.6672
206893.4539,456018.3817
202988.1364,455286.462
201363.1385,454514.7526
201394.714,454544.9849
201386.5444,454412.7727
201414.1927,454407.005
201810.3889,453337.054
201865.4176,455541.2555
201996.7726,459341.4123
202130.7758,459480.5415
202056.0549,458898.7984
202536.5419,456758.8137
202676.4918,456377.652
202028.4766,459003.0817
202054.8361,458707.6065
202139.6263,459534.5237
202151.4143,459525.9161
202068.8987,458857.0067
202197.8326,459611.8664
202320.1077,459762.4432
202495.4231,459915.7769
202281.8309,459505.0687
202237.172,459610.7854
201924.1222,459334.9041
202077.21,459240.1583
201747.59,459153.2677
202268.5112,459679.7682
202684.3739,456417.0525
202082.6164,459547.0772
202151.4143,459525.9161
202047.1011,459067.0642
201929.3283,459306.6509
202032.7576,459259.444
202218.0443,459587.4268
202149.9636,459578.5208
202017.7084,459128.3948
202257.6996,459679.0011
202665.4191,456664.9353
202106.7533,459468.9713
202118.8482,459509.5155
202291.4221,459670.1971
202273.933,459651.4389
201729.2648,459171.892
202021.5472,459042.8964
202118.7626,459487.327
202229.792,459601.4041
202206.6782,459574.0708
201884.2537,459087.3735
202264.5278,459641.6391
201926.5046,459160.7636
202103.4828,459451.3173
202291.4221,459670.1971
202039.0419,459387.4586
202103.4828,459451.3173
202167.0944,459552.5263
202255.1789,459631.9117
202189.1247,459553.6495
202151.4143,459525.9161
202151.4143,459525.9161
202033.6166,458951.6122
202020.1219,459054.2614
202278.4652,459687.0271
202139.6263,459534.5237
204263.7065,461207.2447
204263.7065,461207.2447
204317.2649,461224.0141
204354.5,461162.92
204348.91,461195.825
204357.3828,461235.7633
204317.2649,461224.0141
204397.0041,461175.402
204303.405,461147.92
204279.415,461140.88
204502.1186,461278.3911
204279.415,461140.88
204462.8114,461156.2964
204383.7824,461131.4108
203996.8401,461075.8998
204397.0041,461175.402
204354.5,461162.92
205157.9475,461423.0451
205106.0147,461240.093
205489.7619,461349.7597
205341.2345,461208.9867
205221.5392,461414.2189
205164.0545,461393.7487
205088.6421,461372.8509
205114.4073,461315.444
205462.4104,461341.9135
205439.3207,461335.3566
205083.9895,461342.9809
205157.9475,461423.0451
205439.3207,461335.3566
205111.675,461350.729
205083.9895,461342.9809
205115.5754,461380.3873
205060.885,461336.51
205027.0786,461291.305
205185.5194,461399.6286
193609.4008,456446.3393
192576.6005,454123.1378
193609.4008,456446.3393
192596.1872,454258.3367
192560.871,454140.7114
192551.7524,454079.0253
192851.8988,457514.3364
192852.904,457562.8871
193827.7171,456382.7793
193815.0039,456401.2535
192533.2705,454125.3245
192534.5706,454175.1658
192551.7524,454079.0253
192533.2705,454125.3245
192516.1515,454158.7933
193622.2026,456303.3023
193755.7285,456400.8791
193645.2061,456283.278
192576.6005,454123.1378
192557.7325,454172.6057
192551.7524,454079.0253
192916.6075,457197.734
193797.1129,456453.6439
193814.4741,456428.1226
192576.6005,454123.1378
192576.6005,454123.1378
193795.8626,456429.0325
192852.904,457562.8871
192866.5824,457369.9413
193757.3833,456499.0682
193802.2675,456419.664
193808.6962,456410.3167
192868.601,457522.5753
193808.037,456437.3405
193790.9305,456463.0929
194056.6576,455439.4796
192861.2313,457489.9387
193735.9119,456421.4052
192824.4912,457366.7078
193669.94,456523.9993
193795.8626,456429.0325
193827.7171,456382.7793
193565.6193,456299.0794
193598.3482,456279.8241
192475.5873,454044.5813
193903.3334,456197.9272
192527.8137,454024.4741
192775.4412,457293.4117
193784.757,456445.0745
192754.0638,455293.0953
192892.0446,457465.325
192565.0421,454222.0841
192775.4412,457293.4117
193744.581,456409.2244
193644.3877,456494.7576
192608.3669,454252.8134
193723.1564,456369.5301
192592.5508,454204.3821
192578.1628,454189.7053
192590.8874,454194.694
192533.9019,454107.5061
192569.7551,454075.055
192610.0053,454275.2622
192930.263,457339.3813
193687.8356,456469.6585
192828.0538,457530.7576
192892.0446,457465.325
192821.2134,457558.008
193616.714,456366.2736
194917.3489,454104.0889
193658.3925,450660.6961
194417.4694,450445.4148
194371.9625,450456.5029
193524.8401,451063.5727
192530.8959,451930.6887
194423.8198,450494.9127
194441.0658,450526.8653
194669.6455,450494.8233
194211.9972,454098.9703
194441.0658,450526.8653
194385.617,450421.016
196547.0561,452018.4989
194400.0754,450538.9938
194929.7508,450514.6909
194425.6169,450526.7952
192430.7478,451913.1105
192493.201,451918.813
192510.4501,451861.7865
192473.6213,451891.2097
194336.9977,450421.4716
194441.0658,450526.8653
192542.3469,451838.1583
194300.0376,450388.3294
194389.781,450507.1781
194237.3457,450263.5077
195153.206,448725.0771
195748.0644,449145.5788
195310.825,448677.7979
194181.5026,450237.847
195153.206,448725.0771
194156.7457,450351.6016
194203.7651,450307.6048
195184.3359,448780.2688
194326.6006,450227.6215
195153.206,448725.0771
195153.206,448725.0771
195310.825,448677.7979
195237.6427,448733.4048
195237.6427,448733.4048
193003.4622,450443.5881
192748.8141,450048.378
195184.3359,448780.2688
195251.2304,448634.7563
192978.665,450408.426
193010.8614,450290.746
194178.8272,450252.834
195251.2304,448634.7563
195237.6427,448733.4048
195153.206,448725.0771
195153.206,448725.0771
194178.68,450145.1896
195310.825,448677.7979
195184.3359,448780.2688
192937.4261,450226.2105
195748.0644,449145.5788
194101.5206,450379.3644
194222.9748,450291.1669
195748.0644,449145.5788
192988.5021,450417.7147
192986.2827,450269.9729
195748.0644,449145.5788
195748.0644,449145.5788
193398.5951,450739.1569
195214.3093,448572.254
186681.392,450058.6379
185747.6701,447360.2708
185775.1,448849.97
185524.2237,448444.1551
186720.895,450123.2114
183157.7469,450892.1015
186721.0723,449990.6055
186796.7822,450156.9567
183383.1865,451907.4103
185553,450880
185553,450880
185553,450880
185553,450880
185553,450880
186748.4399,450068.2771
186424.3917,447580.5448
186355.0842,447404.1898
186409.6667,447486.5787
185553,450880
185553,450880
186140.5639,447451.0515
186301.6878,447468.616
186301.6878,447468.616
185520.5008,448289.4396
185553,450880
186740.1498,450055.0444
185525.0373,448760.6448
185436.0743,449449.2625
186473.6121,447474.6321
186493.1558,447429.957
186720.8924,450028.1615
186730.8671,450042.2238
186453.1876,447642.8402
186485.2012,449695.443
186761.4348,450039.302
183042.6399,451015.8183
185438.1407,449473.136
186806.3612,450129.3922
186052.3505,447441.468
185803.6118,447396.4592
185803.6118,447396.4592
185803.6118,447396.4592
185553,450880
185553,450880
185553,450880
185553,450880
185553,450880
185553,450880
185887.9336,448882.7772
186501.7184,447407.8187
186529.5177,449732.8759
186402.8165,447637.266
186760.6716,450084.2094
186856.9376,451268.3893
186780.4702,450119.9393
186410.0292,447620.8114
186380.6346,447481.2101
186397.1446,447525.6013
185799.5271,447417.8899
186691.9308,449987.4354
186829.3799,450187.5672
186395.3257,447653.0618
186773.4718,450066.5636
186651.0259,450017.8325
186318.4498,447470.9747
186477.549,447457.3384
185794.4221,447360.4836
186434.921,447405.5368
186422.5479,449596.6556
186630.0724,450017.4915
186448.2477,447533.492
186443.006,447493.8452
186455.6283,447517.153
186355.0842,447404.1898
186691.9308,449987.4354
186892.9474,450261.9914
186720.895,450123.2114
186437.39,447472.6707
186437.39,447472.6707
185766.0369,447358.6377
186892.9474,450261.9914
186437.39,447472.6707
186437.39,447472.6707
186304.9574,447950.1315
186711.5327,449978.5634
185553,450880
185553,450880
186319.5325,449441.7566
186760.6716,450084.2094
185553,450880
185553,450880
186783.4813,450080.4482
186702.9548,450002.2927
189200.1477,449654.951
186742.6244,450021.6833
186633.6154,449992.3416
186410.0292,447620.8114
186338.4359,447474.8159
186742.6244,450021.6833
186765.2046,450054.4586
186773.4718,450066.5636
186856.9376,451268.3893
185553,450880
185553,450880
185553,450880
185553,450880
185553,450880
185553,450880
185553,450880
185553,450880
186149.0007,443754.9619
186081.4638,443677.4779
186811.1494,444350.0187
186040.2147,443696.6716
186144.8808,443706.5707
186057.43,443710.1252
186212.0841,443782.5558
186301.2117,443839.6579
186198.7148,443783.568
186330.5058,443857.1464
187246.0149,442802.9283
185893.5439,443673.3712
187223.7797,443107.9509
187240.2477,442877.262
187396.4043,443569.6856
185797.1841,443629.4106
186149.0007,443754.9619
186100.9507,443688.1409
186040.2147,443696.6716
185797.1841,443629.4106
185832.7823,443567.7068
186330.5058,443857.1464
185913.1598,443689.9873
186143.0395,443851.276
186144.8808,443706.5707
186130.5868,443706.5387
186149.0007,443754.9619
190213.6744,441843.9599
190218.4984,441781.6346
191253.3057,438991.4981
190291.362,441856.7617
190213.6744,441843.9599
190213.6744,441843.9599
191219.3082,439072.3561
191254.0616,438969.7681
191400.6001,441801.7519
190291.362,441856.7617
191245.4208,439015.0704
191305.2145,438924.1336
190176.7061,441854.1673
191074.0323,439185.6213
190108.8225,441860.7488
191162.7947,440461.4447
190191.1045,441876.6162
191150.0146,439245.1236
191904.7735,446246.7863
191763.0348,446101.3183
191771.8344,443839.6131
193989.2726,446346.5622
191768.6332,446118.0138
191712.0565,446096.7102
191661.0362,446332.0134
191827.5934,446264.8772
191141.654,446522.0911
191793.5043,446300.4748
191900.8897,446178.4263
191845.5095,446258.9395
191787.0177,446380.8982
191885.6363,446280.0742
191385.6929,446421.8554
190955.6468,448129.2174
191889.1369,446255.5658
191960.6361,446236.3438
191760.9681,446263.2762
191064.3202,448060.1226
191715.9033,446127.7926
193658.474,446413.9177
191636.0533,446315.0672
191923.8521,446217.53
191847.8284,446267.567
193658.474,446413.9177
193677.1246,446467.5965
191894.4454,446243.9168
191867.3492,446143.448
191896.8256,446253.7266
191937.5879,446243.4481
193075.4043,445703.1843
193437.2338,446618.3987
191061.809,448120.3653
193657.0799,446371.1082
191756.4867,446243.5648
193861.2724,446387.3758
191387.4166,447916.2666
193306.33,446582.7823
193844.1691,446511.7833
193769.2951,446459.0722
193861.2724,446387.3758
193636.7688,446396.9756
193861.2724,446387.3758
193861.2724,446387.3758
191865.8481,446163.0649
193861.2724,446387.3758
193861.2724,446387.3758
193678.6954,446510.537
191650.2628,446234.7897
191059.2314,448111.2714
191876.866,446248.3454
191691.1679,446411.0071
191590.8783,446489.4195
191932.3875,446196.9561
191922.3253,446192.3654
190970.0066,448119.3217
191303.7929,442376.389
191907.3303,446195.4684
191947.9335,446239.9903
191819.7851,446297.4133
191077.6283,448051.8105
190612.5962,445533.0784
191570.5356,442939.5368
190385.8548,446833.2689
191756.5004,446137.7811
191885.6795,446172.7933
191834.1577,446271.7549
192612.8916,445497.3087
193798.9483,446579.6526
191704.2921,446296.2593
191757.5207,446161.3331
191661.2315,447367.9337
191789.1311,446166.2157
193138.2462,445635.7668
193844.1691,446511.7833
193717.6143,446460.3636
191889.1369,446255.5658
193861.2724,446387.3758
