관리번호,분류,대표명,주소,경도,위도,사업장명,지번주소,도로명주소,
340,대형슈퍼,홈플러스 익스프레스,서울특별시 송파구 거여동,127.145308,37.4926784,홈플러스(주)익스프레스 거여점,서울특별시 송파구 거여동 27-5호 B101호,서울특별시 오금로 512,"X :127.145308, Y :37.4926784"
341,대형슈퍼,롯데슈퍼,서울특별시 송파구 석촌동,127.098879,37.5021683,롯데쇼핑(주)롯데슈퍼석촌점,서울특별시 송파구 석촌동 235-17호,서울특별시 송파구 백제고분로34길 3 (석촌동),"X :127.098879, Y :37.5021683"
342,대형할인마트,하나로마트,서울특별시 송파구 오금동,127.127641,37.510151,농협하나로마트방이역점,서울특별시 송파구 오금동 615번지,서울특별시 송파구 양재대로72길 5 (오금동),"X :127.127641, Y :37.5101510"
343,대형슈퍼,이마트 에브리데이,서울특별시 송파구 가락동,127.118277,37.4962942,(주)이마트에브리데이 가락동점,서울특별시 송파구 가락동 88-2호,서울특별시 송파구 중대로9길 35 (가락동),"X :127.118277, Y :37.4962942"
344,대형슈퍼,홈플러스 익스프레스,서울특별시 송파구 풍납동,127.116209,37.5339219,홈플러스(주)익스프레스 풍납점,서울특별시 송파구 풍납동 163번지,서울특별시 송파구  올림픽로51길  52 (풍납동),"X :127.116209, Y :37.5339219"
345,대형슈퍼,홈플러스 익스프레스,서울특별시 송파구 삼전동,127.089834,37.5042207,홈플러스 익스프레스 삼전역점,서울특별시 송파구 삼전동 9-제이 플레이스,"서울특별시 송파구 백제고분로 207 (삼전동, 제이 플레이스)","X :127.089834, Y :37.5042207"
346,대형슈퍼,이마트 에브리데이,서울특별시 송파구 가락동,127.102515,37.4975972,이마트에브리데이 송파점,서울특별시 송파구 가락동 479 헬리오시티,"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)","X :127.102515, Y :37.4975972"
347,대형슈퍼,롯데슈퍼,서울특별시 송파구 가락동,127.134457,37.4953941,롯데프레시송파가락가맹점,서울특별시 송파구 가락동 191-5,서울특별시 송파구 동남로20길 24 (가락동),"X :127.134457, Y :37.4953941"
348,대형슈퍼,GS슈퍼,서울특별시 강동구 고덕동,127.16258,37.5578882,지에스 더프레시(GS THE FRESH) 고덕그라시움점,서울특별시 강동구 고덕동 217-고덕그라시움아파트(상가동),"서울특별시 강동구 고덕로 353, 고덕그라시움아파트(상가1동) 지하1층 108-119,128호 (고덕동)","X :127.162580, Y :37.5578882"
349,대형슈퍼,이마트 에브리데이,서울특별시 강동구 성내동,127.121728,37.5325739,이마트에브리데이 성내점,서울특별시 강동구 성내동 595-코오롱 2차아파트,"서울특별시 강동구 올림픽로 572, 상가동 1층 101,102호 (성내동, 코오롱 2차아파트)","X :127.121728, Y :37.5325739"
